ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,germination
7210,116,42.04,12.39,11.92,0.82,14.42,12.0,1.04,0
3286,161,52.527,19.359,10.589,0.733,20.616,11.8,1.828,0
4062,165,51.94,17.41,12.07,0.77,18.36,13.4,1.44,0
7809,204,56.87,20.15,12.89,0.79,20.4,13.0,1.56,0
3256,222,75.497,22.962,12.31,0.489,25.71,15.0,1.865,0
3399,204,62.77,21.18,12.263,0.651,23.707,13.864,1.727,0
7818,177,52.63,18.39,12.26,0.8,19.42,12.0,1.5,0
9164,158,47.7,17.81,11.3,0.87,18.6,12.48,1.58,0
7889,210,57.11,20.14,13.27,0.81,22.83,15.0,1.52,0
8584,137,45.46,14.69,11.87,0.83,17.03,13.0,1.24,0
4297,152,49.46,14.74,13.13,0.78,17.8,13.92,1.12,0
958,141,43.456,15.371,11.679,0.938,16.155,12.0,1.316,0
2466,272,69.012,25.257,13.712,0.718,27.313,16.001,1.842,0
1384,105,38.627,13.846,9.655,0.884,14.866,10.0,1.434,0
6493,121,45.11,15.05,10.24,0.75,16.28,11.07,1.47,0
9653,248,67.84,24.35,12.97,0.68,24.84,14.57,1.88,0
4218,204,56.53,19.0,13.67,0.8,21.4,14.7,1.39,0
2713,206,60.77,21.553,12.169,0.701,23.195,13.0,1.771,0
1649,108,38.627,13.594,10.116,0.91,14.765,11.0,1.344,0
9899,127,45.46,13.54,11.95,0.77,15.26,12.23,1.13,0
500,230,66.284,26.838,10.912,0.658,26.683,12.0,2.46,0
2209,340,82.083,30.112,14.377,0.634,32.016,15.696,2.095,0
6426,103,38.97,12.06,10.87,0.85,13.45,11.0,1.11,0
74,141,46.042,15.723,11.418,0.836,16.763,12.0,1.377,0
1587,104,37.799,14.053,9.422,0.915,14.56,9.0,1.491,0
1136,106,38.627,14.707,9.177,0.893,15.524,9.0,1.603,0
9124,211,61.7,21.43,12.53,0.7,23.26,12.87,1.71,0
6784,262,65.84,22.84,14.6,0.76,24.04,16.0,1.56,0
6440,145,46.04,16.47,11.21,0.86,17.2,11.74,1.47,0
7812,204,60.77,19.69,13.19,0.69,20.4,14.32,1.49,0
1235,102,36.627,13.041,9.958,0.955,14.422,10.607,1.31,0
8374,221,58.77,21.53,13.07,0.8,22.47,14.2,1.65,0
4133,147,47.11,16.23,11.53,0.83,17.49,12.85,1.41,0
515,181,54.77,20.123,11.452,0.758,21.932,12.203,1.757,0
7253,158,50.77,17.45,11.53,0.77,19.21,12.65,1.51,0
3234,344,107.054,41.855,10.465,0.377,42.202,14.063,4.0,0
1277,101,37.213,13.88,9.265,0.917,14.318,9.0,1.498,0
